lon,lat,elev_m,vdatum,Description,HWM_ID,date,elev_msl_m
-71.9565,41.0501,1.8288,NAVD88,Good wash line on speed limit sign,HWM-NY-SUF-426,10/29/2012,1.7616205585
-72.1866,41.0039,1.85928,NAVD88,Excellent wash line on cinder block wall,HWM-NY-SUF-427,10/30/2012,1.7602711418
-72.291,41.001,1.92024,NAVD88,Excellent wash line on fence,HWM-NY-SUF-428,10/30/2012,1.8159215824
-72.6612,40.91617,2.46888,NAVD88,Excellent seed line on basement door of building,HWM-NY-SUF-512,10/30/2012,2.3369862013
-72.6612,40.91617,2.49936,NAVD88,Poor seed line on back of building,HWM-NY-SUF-513,10/30/2012,2.3674662013
-72.6554,40.91746,2.40792,NAVD88,Poor seed line on door outside building,HWM-NY-SUF-514,10/30/2012,2.2719137937
-72.5554,40.9101,2.25552,NAVD88,Excellent seed line on post,HWM-NY-SUF-516,10/30/2012,2.1189751316
-73.5816,40.90816,3.16992,NAVD88,Excellent seed line on fence,HWM-NY-NAS-936,10/30/2012,3.0938552793
-73.6357,40.89152,3.048,NAVD88,Excellent seed line on door,HWM-NY-NAS-938,10/30/2012,2.9676935818
-73.6275,40.89939,3.01752,NAVD88,Good seed line on tree,HWM-NY-NAS-939,10/30/2012,2.9388069778
-73.6496,40.80471,3.10896,NAVD88,Excellent seed line pn side of building,HWM-NY-NAS-940,10/30/2012,3.0294659707
-73.6466,40.82358,3.10896,NAVD88,Excellent seed line,HWM-NY-NAS-941,10/30/2012,3.0281218934
-73.6505,40.85112,3.32232,NAVD88,Poor debris line on beach,HWM-NY-NAS-942,10/30/2012,3.2385483987
-73.2104,40.85846,2.62128,NAVD88,Good seed line on fence,HWM-NY-SUF-943,10/29/2012,2.5770925287
-73.1934,40.8826,2.71272,NAVD88,Excellent seed line on door of house,HWM-NY-SUF-944,10/29/2012,2.6542582594
-74.0443,40.07279,2.07264,NAVD88,Good seed line on picket fence,HWM-NJ-OCE-228,10/30/2012,2.0322563221
-74.0567,40.06821,1.95072,NAVD88,Excellent seed line on garage door on Shore Dr,HWM-NJ-OCE-229,10/30/2012,1.9422841183
-73.7043,40.82108,3.048,NAVD88,Good seed line inside garage,HWM-NY-NAS-517,10/30/2012,2.9124757867
-74.5369,39.30495,2.52984,NAVD88,Poor mud line on exterior of garage door,HWM-NJ-ATL-304,10/29/2012,2.4326119125
-74.5368,39.30481,2.56032,NAVD88,Good mud line on inside of sliding glass door,HWM-NJ-ATL-305,10/29/2012,2.4630919125
-74.5724,39.27797,2.5908,NAVD88,Good mud line on swimming pool fence at hotel,HWM-NJ-ATL-306,10/29/2012,2.5084303297
-75.3495,37.93594,1.2192,NAVD88,Good seed line on fence at Fir Landing parking lot.,HWM-VA-ACC-001,10/29/2012,1.1617136149
-75.6874,37.60575,1.76784,NAVD88,Fair seed line and water line under USCG Station in basement.,HWM-VA-ACC-002,10/29/2012,1.6729204377
-75.6637,37.92637,1.8288,NAVD88,Excellent seed line on inside of shed.,HWM-VA-ACC-051,10/29/2012,1.7427300361
-75.6637,37.92637,1.79832,NAVD88,Good seed line and mud stain on oustide of garage.,HWM-VA-ACC-052,10/29/2012,1.7122500361
