lon,lat,elev_m,vdatum,elev_msl_m
-81.383746,25.870766,1.8144744,NAVD88,1.6098909339
-81.385488,25.858679,2.138172,NAVD88,1.9332330816
-81.510252,25.958473,1.5450312,NAVD88,1.3500913035
-81.576688,25.987359,1.2722352,NAVD88,1.0832661988
-81.5191,24.6602,1.0735056,NAVD88,0.8860335844
-81.59,30.55056,2.3146512,NGVD29,2.6168512
-81.59,30.55056,2.1628608,NGVD29,2.4650608
-81.58306,29.95056,0.911352,NAVD88,0.9062752149
-81.70799,30.03973,1.627632,NAVD88,1.6347134323
-80.5909,24.9499,1.7367504,NAVD88,1.4840809464
-81.575,29.94806,0.950976,NAVD88,0.9465321538
-82.2992,27.8813,2.868168,NAVD88,2.8442986271
-81.58472,29.92778,0.780288,NAVD88,0.777716918
-81.45151,26.77734,6.20268,NAVD88,6.0354814016
-81.50727,29.90655,2.904744,NAVD88,2.8792877596
-81.50746,29.90635,3.01752,NAVD88,2.9920637596
-81.985804,27.043856,1.149096,NAVD88,1.0327620311
-81.808792,30.081513,3.148584,NAVD88,3.1522503825
-81.45305,26.77774,6.46176,NAVD88,6.2945614016
-81.808443,30.08262,2.935224,NAVD88,2.9388903825
-81.59194,29.91028,1.929384,NAVD88,1.9282369112
-81.82903,26.33508,1.176528,NAVD88,1.0413269929
-82.28379,27.86789,4.474464,NAVD88,4.4425386533
-82.2954,27.8784,3.297936,NAVD88,3.2718289775
-82.28563,27.87055,4.242816,NAVD88,4.2128581486
-81.822382,30.062796,3.998976,NAVD88,4.0013056713
-81.52375,29.94125,1.652016,NAVD88,1.6322912435
-81.47264,26.75807,4.760976,NAVD88,4.5936861171
-81.875505,27.221786,7.327392,NAVD88,7.1931752146
-81.816084,26.336395,1.18872,NAVD88,1.0523413988
-82.26536,27.86163,6.806184,NAVD88,6.7714345144
-82.27497,27.8586,5.276088,NAVD88,5.2406711622
-81.844655,30.073412,4.992624,NAVD88,4.9929646683
-81.890693,27.230257,7.751064,NAVD88,7.6183202242
-81.56361,29.98472,0.676656,NAVD88,0.6697332791
-82.28646,27.8691,4.16052,NAVD88,4.1305621486
-81.903125,27.164336,5.5626,NAVD88,5.4292170835
-81.843757,30.073351,4.953,NAVD88,4.953617375
-81.851121,30.072925,5.193792,NAVD88,5.1937004313
-82.29808,27.87789,2.9718,NAVD88,2.9456929775
-81.58,29.98806,1.499616,NAVD88,1.492237542
-81.799072,26.340756,1.283208,NAVD88,1.1444415026
-81.73326,26.66906,2.877312,NAVD88,2.7331665858
-81.875021,30.061086,6.184392,NAVD88,6.1829492811
-81.738,26.6685,2.813304,NAVD88,2.6699241329
-81.50444,29.71806,1.603248,NAVD88,1.5824983174
-81.790216,26.340873,1.533144,NAVD88,1.3916912256
-82.2298,27.8667,7.455408,NAVD88,7.4185043579
-82.23024,27.8728,8.363712,NAVD88,8.3294730282
-81.74364,26.67254,3.8862,NAVD88,3.7440426242
-81.870492,30.059721,6.059424,NAVD88,6.0582643653
-81.63017,30.13463,1.673352,NAVD88,1.6661476457
-81.85733,27.279905,9.552432,NAVD88,9.4187746042
-81.75183,26.68874,1.655064,NAVD88,1.515046565
-82.2719,27.8719,8.631936,NAVD88,8.6007897996
-81.73858,26.68156,2.389632,NAVD88,2.2464806124
-81.772028,26.34137,2.215896,NAVD88,2.0709351942
-81.74132,26.67869,2.62128,NAVD88,2.4781782035
-81.46611,29.66139,3.294888,NAVD88,3.2701113941
-81.867434,30.075033,5.346192,NAVD88,5.3448759631
